,,,Conc Slab,100,,mm,,,,,,,,,,,,,,,,,,,,,
,,,Voids,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Length,,Width,,,,,,,,,,,,,,,,,,,,,
,,,Void 1,1000,,2000,,,,,,,,,,,,,,,,,,,,,
,,,Void 2,3000,,4000,,,,,,,,,,,,,,,,,,,,,
,,,Void 3,5000,,6000,,,,,,,,,,,,,,,,,,,,,
,,,Rooms,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Length,,Width,,,,,,,,,,,,,,,,,,,,,
,,,Bedroom 1,1000,,1100,mm,,,,,,,,,,,,,,,,,,,,
,,,Bedroom 2,1200,,1300,mm,,,,,,,,,,,,,,,,,,,,
,,,Bedroom 3,1400,,1500,mm,,,,,,,,,,,,,,,,,,,,
,,,Bedroom 4,1600,,1700,mm,,,,,,,,,,,,,,,,,,,,
,,,Bedroom 5,1800,,1900,mm,,,,,,,,,,,,,,,,,,,,
,,,Bedroom 6,2000,,2200,mm,,,,,,,,,,,,,,,,,,,,
,,,Lounge,2300,,2400,mm,,,,,,,,,,,,,,,,,,,,
,,,Dinning,2500,,2600,mm,,,,,,,,,,,,,,,,,,,,
,,,Passage,2700,,2800,mm,,,,,,,,,,,,,,,,,,,,
,,,Kitchen,2900,,3000,mm,,,,,,,,,,,,,,,,,,,,
,,,Bath,3400,,3500,mm,,,,,,,,,,,,,,,,,,,,
,,,Ensuite,3600,,3700,mm,,,,,,,,,,,,,,,,,,,,
,,,Bar,3900,,4000,mm,,,,,,,,,,,,,,,,,,,,
,,,OPENINGS,,,,,,,,,,,,,,,,,,,,,,,,
,,,WINDOWS-4mm clear glazed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,QTY,,Length,Height,,,,,,,,,,,,,,,,,,,,
,,,Window type 1,1,,1000,2000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 2,2,,2000,3000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 3,3,,4000,5000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 4,4,,5000,6000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 5,5,,6000,7000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 6,6,,7000,8000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 7,7,,8000,9000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 8,8,,9000,10000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 9,9,,10000,11000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 10,10,,1000,2000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 11,11,,3000,4000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 12,12,,5000,6000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 13,13,,7000,8000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 14,14,,9000,10000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 15,15,,1000,2000,mm,,,,,,,,,,,,,,,,,,,
,,,WINDOWS-4mm  Obscure,,,,,,,,,,,,,,,,,,,,,,,,
,,,Window type 16,1,,1000,2000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 17,2,,3000,4000,mm,,,,,,,,,,,,,,,,,,,
,,,Window type 30,3,,5000,6000,mm,,,,,,,,,,,,,,,,,,,
,,,Total Windows,126,,No.,,,,,,,,,,,,,,,,,,,,,
,,,Lintel overlap,75,,mm,,,,,,,,,,,,,,,,,,,,,
,,,Beam over openings,,,,,,,,,,,,,,,,,,,,,,,,
,,,On 230 mm walls,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Length,20000,,mm,,,,,,,,,,,,,,,,,,,,,
,,,Width,230,,mm,,,,,,,,,,,,,,,,,,,,,
,,,Height,75,,mm,,,,,,,,,,,,,,,,,,,,,
,,,On 115 mm walls,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Length,10000,,mm,,,,,,,,,,,,,,,,,,,,,
,,,Width,115,,mm,,,,,,,,,,,,,,,,,,,,,
,,,Height,75,,mm,,,,,,,,,,,,,,,,,,,,,
,,, SUBSTRUCTURE ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Clear Site,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Length,,Width,,,,,,,,,,,,,,,,,,,,,
,,,,10000,,8000,,,,,,,,,,,,,,,,,,,,,
,,,Add 2/1000,2000,,2000,,,,,,,,,,,,,,,,,,,,,
,,,,12000,,10000,,,,,,,,,,,,,,,,,,,,,
, 12.00 ,,Clear site 1000 mm around external walls of bldng,,,,,,,,,,,,,,,,,,,,,,,,
, 10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 120.00 ,m2,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ddt Ditto,,,,,,,,,,,,,,,,,,,,,,,,
, 1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 2.00 , 2.00 ,Ddt ditto voids,,,,,,,,,,,,,,,,,,,,,,,,
, 3.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 4.00 , 12.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 6.00 , 30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 44.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excavate to remove vegtable soil,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Foundation spread,,,,,,,,,,,,,,,,,,,,,,,
,,,, 690 ,,,,,,,,,,,,,,,,,,,,,,,
,,,Less, 230 ,(Walls),,,,,,,,,,,,,,,,,,,,,,
,,,2/,460,,,,,,,,,,,,,,,,,,,,,,,
,,,,230,,,,,,,,,,,,,,,,,,,,,,,
,,,,Length,,Width,,,,,,,,,,,,,,,,,,,,,
,,,," 10,000 ",,8000,,,,,,,,,,,,,,,,,,,,,
,,,Add 2/230,460,,460,Fdn spread,,,,,,,,,,,,,,,,,,,,
,,,,10460,,8460,,,,,,,,,,,,,,,,,,,,,
, 10.46 ,,Excavate to remove vegtable soil average depth 150 mm,,,,,,,,,,,,,,,,,,,,,,,,
, 8.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 88.49 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ddt ditto,,,,,,,,,,,,,,,,,,,,,,,,
, 1.00 ,,Ddt ditto voids,,,,,,,,,,,,,,,,,,,,,,,,
, 2.00 , 2.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 3.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 4.00 , 12.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 6.00 , 30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 44.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foundation Trenches,,,,,,,,,,,,,,,,,,,,,,,,
,,,,External Girth 230,,,,,,,,,,,,,,,,,,,,,,,
,,,Length," 10,000 ",,,,,,,,,,,,,,,,,,,,,,,
,,,Width," 8,000 ",,,,,,,,,,,,,,,,,,,,,,,
,,,2/," 18,000 ",,36000,,,,,,,,,,,,,,,,,,,,,
,,,,Less 4/0.5/2/230,, 920 ,,,,,,,,,,,,,,,,,,,,,
,,,,,," 35,080 ",,,,,,,,,,,,,,,,,,,,,
,,,,Internal 230 mm,," 20,000 ",mm,,,,,,,,,,,,,,,,,,,,
,,,,Internal 115 mm,," 15,000 ",mm,,,,,,,,,,,,,,,,,,,,
,,,,Depth,, 620 ,mm,,,,,,,,,,,,,,,,,,,,
,,,,Width,, 690 ,mm,,,,,,,,,,,,,,,,,,,,
, 35.08 ,,Excavate for surface trenches n.e 2m deep commencing from N.G.L,,,,,,,,,,,,,,,,,,,,,,,,
, 0.69 ,,&,,,,,,,,,,,,,,,,,,,,,,,,
, 0.62 , 15.01 ,"Return, fill and ram",,,,,,,,,,,,,,,,,,,,,,,,
, 20.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.62 , 8.56 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.62 , 5.21 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 28.77 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concrete footings,,,,,,,,,,,,,,,,,,,,,,,,
, 35.08 ,,Vibrated reinforced concrete grade 25 to stip footings,,,,,,,,,,,,,,,,,,,,,,,,
, 0.69 ,,&,,,,,,,,,,,,,,,,,,,,,,,,
, 0.23 , 5.57 ,Ddt R.F.R & Add cartaway,,,,,,,,,,,,,,,,,,,,,,,,
, 20.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.23 , 3.17 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.23 , 1.93 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 10.67 ,m3,,,,,,,,,,,,,,,,,,,,,,,,
,,,One Brickwalls in foundations,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brickwork height,,,,,,,,,,,,,,,,,,,,,,,
,,,Depth," 1,000 ",(N.G.L to founding depth),,,,,,,,,,,,,,,,,,,,,,
,,,Add, 150 ,(From N.G.L up to D.P.C),,,,,,,,,,,,,,,,,,,,,,
,,,," 1,150 ",,,,,,,,,,,,,,,,,,,,,,,
,,,Less, 230 ,(Concrete footing),,,,,,,,,,,,,,,,,,,,,,
,,,, 920 ,,,,,,,,,,,,,,,,,,,,,,,
, 35.08 ,,One brickwalls in common brickwork in foundations(Mortar mix 1:4),,,,,,,,,,,,,,,,,,,,,,,,
, 0.92 , 32.27 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 20.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.92 , 18.40 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 50.67 ,m2,,,,,,,,,,,,,,,,,,,,,,,,
,,,Half Brickwalls in foundations,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brickwork height,,,,,,,,,,,,,,,,,,,,,,,
,,,Depth," 1,000 ",(N.G.L to founding depth),,,,,,,,,,,,,,,,,,,,,,
,,,Add, 150 ,(From N.G.L up to D.P.C),,,,,,,,,,,,,,,,,,,,,,
,,,," 1,150 ",,,,,,,,,,,,,,,,,,,,,,,
,,,Less, 230 ,(Concrete footing),,,,,,,,,,,,,,,,,,,,,,
,,,, 920 ,,,,,,,,,,,,,,,,,,,,,,,
, 15.00 ,,Half brickwalls in common brickwork in foundations(Mortar mix 1:4),,,,,,,,,,,,,,,,,,,,,,,,
, 0.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 13.80 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,230  mm Brickforce,,,,,,,,,,,,,,,,,,,,,,,,
,,,Brickforce after every, 3 ,,,,,,,,,,,,,,,,,,,,,,,
,,,Factor,3.92,,,,,,,,,,,,,,,,,,,,,,,
, 198.72 , 198.72 ,Ref C2 Brickforce suitable for one brickwalls,,,,,,,,,,,,,,,,,,,,,,,,
,,,115 mm Brickforce,,,,,,,,,,,,,,,,,,,,,,,,
,,,Brickforce after every, 3 ,,,,,,,,,,,,,,,,,,,,,,,
,,,Factor,3.92,,,,,,,,,,,,,,,,,,,,,,,
, 54.12 , 54.12 ,Ref C2 Brickforce suitable for one brickwalls,,,,,,,,,,,,,,,,,,,,,,,,
,,,D.P.M,,,,,,,,,,,,,,,,,,,,,,,,
,, Bedroom 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 1.00 ,,250 Micron Black polthene sheeting,,,,,,,,,,,,,,,,,,,,,,,,
, 1.10 , 1.10 ,&,,,,,,,,,,,,,,,,,,,,,,,,
, 1.20 , Bedroom 2 ,Strike off and cure tops of concrete,,,,,,,,,,,,,,,,,,,,,,,,
, 1.30 , 1.56 ,&,,,,,,,,,,,,,,,,,,,,,,,,
, 1.40 , Bedroom 3 ,Termite treatment,,,,,,,,,,,,,,,,,,,,,,,,
, 1.50 , 2.10 ,&,,,,,,,,,,,,,,,,,,,,,,,,
, 1.60 , Bedroom 4 ,S193 Fabric Mesh Reinforcement,,,,,,,,,,,,,,,,,,,,,,,,
, 1.70 , 2.72 ,&,,,,,,,,,,,,,,,,,,,,,,,,
, 1.80 , Bedroom 5 ,Hardcore and compact,,,,,,,,,,,,,,,,,,,,,,,,
, 1.90 , 3.42 ,x,0.15,m3 per m2,,,,,,,,,,,,,,,,,,,,,,
, 2.00 , Bedroom 6 ,,12.66,m3 ,,,,,,,,,,,,,,,,,,,,,,
, 2.20 , 4.40 ,&,,,,,,,,,,,,,,,,,,,,,,,,
, 2.30 , Lounge ,Concrete Grade 25 to surface Slabs,,,,,,,,,,,,,,,,,,,,,,,,
, 2.40 , 5.52 ,x,0.1,m3 per m2,,,,,,,,,,,,,,,,,,,,,,
, 2.50 , Dinning ,, 8.44 ,m3 ,,,,,,,,,,,,,,,,,,,,,,
, 2.60 , 6.50 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 2.70 , Passage ,,,,,,,,,,,,,,,,,,,,,,,,,
, 2.80 , 7.56 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 2.90 , Kitchen ,,,,,,,,,,,,,,,,,,,,,,,,,
, 3.00 , 8.70 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 3.40 , Bath ,,,,,,,,,,,,,,,,,,,,,,,,,
, 3.50 , 11.90 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 3.60 , Ensuite ,,,,,,,,,,,,,,,,,,,,,,,,,
, 3.70 , 13.32 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 3.90 , Bar ,,,,,,,,,,,,,,,,,,,,,,,,,
, 4.00 , 15.60 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 84.40 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,, SUPERSTUCTURE ,,,,,,,,,,,,,,,,,,,,,,,,
, 35.08 ,,Damp proof couse 230 mm ,,,,,,,,,,,,,,,,,,,,,,,,
, 0.23 , 8.07 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 20.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.23 , 4.60 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 12.67 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 15.00 ,,Damp proof couse 115 mm ,,,,,,,,,,,,,,,,,,,,,,,,
, 0.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 1.73 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 35.08 ,,0ne brickwalls in common bkw,,,,,,,,,,,,,,,,,,,,,,,,
, 2.80 , 98.22 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 20.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 2.80 , 56.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
0.5, 1.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.30 , 0.23 ,,,,,,,,,,,,,,,,,,,,,,,,,
0.5, 2.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.51 , 0.63 ,,,,,,,,,,,,,,,,,,,,,,,,,
0.5, 3.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.71 , 1.24 ,,,,,,,,,,,,,,,,,,,,,,,,,
0.5, 4.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.91 , 2.05 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.50 , 4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 162.37 ,,,,,,,,,,,,,,,,,,,,,,,,,
, 15.00 ,,Half brickwalls in common brickwork,,,,,,,,,,,,,,,,,,,,,,,,
, 2.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 42.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Brickforce After every ,4,th course,,,,,,,,,,,,,,,,,,,,,,
,,,Factor,2.94,,,,,,,,,,,,,,,,,,,,,,,
, 477.54 , 477.54 ,Ref C2 Brickforce suitable for One brickwalls,,,,,,,,,,,,,,,,,,,,,,,,
,,,Brickforce After every ,4,th course,,,,,,,,,,,,,,,,,,,,,,
,,,Factor,2.94,,,,,,,,,,,,,,,,,,,,,,,
, 123.53 , 123.53 ,Ref C2 Brickforce suitable for One brickwalls,,,,,,,,,,,,,,,,,,,,,,,,
,,,Beam filling,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Height,,,,,,,,,,,,,,,,,,,,,,,
,,,3 Courses,255,,,,,,,,,,,,,,,,,,,,,,,
, 35.08 ,,Half Brick wall  Beam  filling,,,,,,,,,,,,,,,,,,,,,,,,
, 0.26 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 8.95 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wall plate,,,,,,,,,,,,,,,,,,,,,,,,
,,,Length," 10,000 ",,,,,,,,,,,,,,,,,,,,,,,
,,,Width," 8,000 ",,,,,,,,,,,,,,,,,,,,,,,
,,,2/," 18,000 ",," 36,000 ",,,,,,,,,,,,,,,,,,,,,
,,,,Less 4 x .5 x 2 x 114,,456,,,,,,,,,,,,,,,,,,,,,
,,,,,," 35,544 ",,,,,,,,,,,,,,,,,,,,,
, 35.54 , 35.54 ,114 x 38 mm W.s.w wall plate,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paint to wall plate,,,,,,,,,,,,,,,,,,,,,,,,
,,,Girth,,,,,,,,,,,,,,,,,,,,,,,,
,,,Width,114,,,,,,,,,,,,,,,,,,,,,,,
,,,Thickness,38,,,,,,,,,,,,,,,,,,,,,,,
,,,2/,152,,,,,,,,,,,,,,,,,,,,,,,
,,,,304,,,,,,,,,,,,,,,,,,,,,,,
, 35.54 ,,Wood preservative(Carbolineum) to wall plate,,,,,,,,,,,,,,,,,,,,,,,,
, 0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 10.81 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Galvanised  Hoop Irons,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wall plate length," 35,544 ",,,,,,,,,,,,,,,,,,,,,,,
,,,/800 spacing, 44.43 ,,,,,,,,,,,,,,,,,,,,,,,
,,,, 45.43 ,,,,,,,,,,,,,,,,,,,,,,,
, 45 , 45 ,1.24 m long galvanised hoop iron ties,,,,,,,,,,,,,,,,,,,,,,,,
,,,FINISHES,,,,,,,,,,,,,,,,,,,,,,,,
,,,WALL FINISHES,,,,,,,,,,,,,,,,,,,,,,,,
,,,WINDOWS,,,,,,,,,,,,,,,,,,,,,,,,
, 126 , 126 ,"Set up in position , cross brace and build in steel window frames not exceeding 5m2",,,,,,,,,,,,,,,,,,,,,,,,
,,,4 mmm Clear glazing to steel sashes including linseed oil puty ,,,,,,,,,,,,,,,,,,,,,,,,
1, 1.00 ,,Window type 1,,,,,,,,,,,,,,,,,,,,,,,,
, 2.00 , 2.00 ,&,,,,,,,,,,,,,,,,,,,,,,,,
2, 2.00 ,,Window type 2,,,,,,,,,,,,,,,,,,,,,,,,
, 3.00 , 12.00 ,Ddt one brick walls,,,,,,,,,,,,,,,,,,,,,,,,
3, 4.00 ,,Window type 3,,,,,,,,,,,,,,,,,,,,,,,,
, 5.00 , 60.00 ,&,,,,,,,,,,,,,,,,,,,,,,,,
4, 5.00 ,,Window type 4,,,,,,,,,,,,,,,,,,,,,,,,
, 6.00 , 120.00 ,Ddt external plaster ,,,,,,,,,,,,,,,,,,,,,,,,
5, 6.00 ,,Window type 5,,,,,,,,,,,,,,,,,,,,,,,,
, 8.00 , 240.00 ,&,,,,,,,,,,,,,,,,,,,,,,,,
6, 7.00 ,,Window type 6,,,,,,,,,,,,,,,,,,,,,,,,
, 8.00 , 336.00 ,Ddt internal plaster ,,,,,,,,,,,,,,,,,,,,,,,,
7, 8.00 ,,Window type 7,,,,,,,,,,,,,,,,,,,,,,,,
, 9.00 , 504.00 ,&,,,,,,,,,,,,,,,,,,,,,,,,
8, 9.00 ,,Window type 8,,,,,,,,,,,,,,,,,,,,,,,,
, 10.00 , 720.00 ,Ddt internal  paint,,,,,,,,,,,,,,,,,,,,,,,,
9, 10.00 ,,Window type 9,,,,,,,,,,,,,,,,,,,,,,,,
, 11.00 , 990.00 ,&,,,,,,,,,,,,,,,,,,,,,,,,
10, 1.00 ,,Window type 10,,,,,,,,,,,,,,,,,,,,,,,,
, 2.00 , 20.00 ,Ddt external  paint,,,,,,,,,,,,,,,,,,,,,,,,
11, 3.00 ,,Window type 11,,,,,,,,,,,,,,,,,,,,,,,,
, 4.00 , 132.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
12, 5.00 ,,Window type 12,,,,,,,,,,,,,,,,,,,,,,,,
, 6.00 , 360.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
13, 7.00 ,,Window type 13,,,,,,,,,,,,,,,,,,,,,,,,
, 8.00 , 728.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
14, 9.00 ,,Window type 14,,,,,,,,,,,,,,,,,,,,,,,,
, 10.00 ," 1,260.00 ",,,,,,,,,,,,,,,,,,,,,,,,,
15, 1.00 ,,Window type 15,,,,,,,,,,,,,,,,,,,,,,,,
, 2.00 , 30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,," 5,514.00 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,4 mmm Obscure glazing to steel sashes including linseed oil puty ,,,,,,,,,,,,,,,,,,,,,,,,
1, 1.00 ,,Window type 16,,,,,,,,,,,,,,,,,,,,,,,,
, 2.00 , 2.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
2, 3.00 ,,Window type 17,,,,,,,,,,,,,,,,,,,,,,,,
, 4.00 , 24.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3, 5.00 ,,Window type 30,,,,,,,,,,,,,,,,,,,,,,,,
, 6.00 , 90.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,, 116.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Precast reinforced concrete lintols,,,,,,,,,,,,,,,,,,,,,,,,
1, 1.15 , 1.15 ,Window type 1,,,,,,,,,,,,,,,,,,,,,,,,
2, 2.15 , 4.30 ,Window type 2,,,,,,,,,,,,,,,,,,,,,,,,
3, 4.15 , 12.45 ,Window type 3,,,,,,,,,,,,,,,,,,,,,,,,
4, 5.15 , 20.60 ,Window type 4,,,,,,,,,,,,,,,,,,,,,,,,
5, 6.15 , 30.75 ,Window type 5,,,,,,,,,,,,,,,,,,,,,,,,
6, 7.15 , 42.90 ,Window type 6,,,,,,,,,,,,,,,,,,,,,,,,
7, 8.15 , 57.05 ,Window type 7,,,,,,,,,,,,,,,,,,,,,,,,
8, 9.15 , 73.20 ,Window type 8,,,,,,,,,,,,,,,,,,,,,,,,
9, 10.15 , 91.35 ,Window type 9,,,,,,,,,,,,,,,,,,,,,,,,
10, 1.15 , 11.50 ,Window type 10,,,,,,,,,,,,,,,,,,,,,,,,
11, 3.15 , 34.65 ,Window type 11,,,,,,,,,,,,,,,,,,,,,,,,
12, 5.15 , 61.80 ,Window type 12,,,,,,,,,,,,,,,,,,,,,,,,
13, 7.15 , 92.95 ,Window type 13,,,,,,,,,,,,,,,,,,,,,,,,
14, 9.15 , 128.10 ,Window type 14,,,,,,,,,,,,,,,,,,,,,,,,
15, 1.15 , 17.25 ,Window type 15,,,,,,,,,,,,,,,,,,,,,,,,
1, 1.15 , 1.15 ,Window type 16,,,,,,,,,,,,,,,,,,,,,,,,
2, 3.15 , 6.30 ,Window type 16,,,,,,,,,,,,,,,,,,,,,,,,
3, 5.15 , 15.45 ,Window type 16,,,,,,,,,,,,,,,,,,,,,,,,
,, 702.90 ,m,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bullnose edge brick cills,,,,,,,,,,,,,,,,,,,,,,,,
1, 1.00 , 1.00 ,Window type 1,,,,,,,,,,,,,,,,,,,,,,,,
2, 2.00 , 4.00 ,Window type 2,,,,,,,,,,,,,,,,,,,,,,,,
3, 4.00 , 12.00 ,Window type 3,,,,,,,,,,,,,,,,,,,,,,,,
4, 5.00 , 20.00 ,Window type 4,,,,,,,,,,,,,,,,,,,,,,,,
5, 6.00 , 30.00 ,Window type 5,,,,,,,,,,,,,,,,,,,,,,,,
6, 7.00 , 42.00 ,Window type 6,,,,,,,,,,,,,,,,,,,,,,,,
7, 8.00 , 56.00 ,Window type 7,,,,,,,,,,,,,,,,,,,,,,,,
8, 9.00 , 72.00 ,Window type 8,,,,,,,,,,,,,,,,,,,,,,,,
